微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://m.weibo.cn/detail/N/A,
1784473157,P30PGpE6U,中国新闻网,2024-12-02 17:08:31,【#山东大学数学学院教授武术家燕子杰逝世#】据齐鲁晚报消息，山东大学数学学院12月1日发布讣告，山东大学数学学院教授，著名学者武术家燕子杰先生12月1日在济南逝世，享年88岁。 2014年，山东大学官网曾刊文《燕子杰：教数学的梅花桩大师》。文章援引他弟子的说法称：“师父当年在北京大学物理系学习 ...全文,39,56,383,中国,北京,北京,北京中新网信息科技有限公司,1309,8129.1万,m,https://m.weibo.cn/u/1784473157?,https://m.weibo.cn/detail/P30PGpE6U,
1893761531,P2gxT9Btt,闪电新闻,2024-11-27 19:18:19,【#原来古人最快乐的事情也是吃肉#】山东大学考古学院教授宋艳波介绍，在北辛遗址一处灰坑中，发现6个个体的猪下颌骨。原来在7000年前，北辛人就开始吃猪肉了，从各个北辛文化遗址陆续出土的猪骨数量判断，猪已经成为北辛人主要的饲养对象。山东 闪电新闻的微博视频 ,3,8,42,中国,山东,济南,闪电君随时在线，留言必回！更有福利不定期派发哦！线索电话：0531-66661234。,715,454.7万,f,https://m.weibo.cn/u/1893761531?,https://m.weibo.cn/detail/P2gxT9Btt,
1880883723,P2IIlxzp5,山东大学,2024-11-30 19:01:00,【知新楼积木模型】限时返场！！！拼知新，“拼”未来，快来和姗姗一起，把独属于山大的热爱与情怀捧在手心！ 作为一栋矗立在山大人心中的独特地标，知新楼承载了深厚的文化积淀。每一块砖石都记录着历史的沧桑，每一扇窗户都眺望着未来的希望。 关注@山东大学 并转发此微博，姗姗将送出20套知新楼积木 ...全文,99,67,69,中国,山东,济南,教育部直属重点综合性大学，国家“211工程”和“985工程”重点建设的高水平大学，世界一流大学建设高校（A类）。微博校园官博联盟会员单位。,514,128.7万,m,https://m.weibo.cn/u/1880883723?,https://m.weibo.cn/detail/P2IIlxzp5,
1559441203,P3iZCud97,曾经是只小可爱,2024-12-04 15:22:27,今天看论文，发现这么一篇论文，第一单位是山东大学的，合作单位有新加坡的南洋理工跟台湾地区的亚洲大学。虽然学术交流很正常，但你把People's Republic of China跟Taiwan并列，你山东大学就这么没有敏感度吗 ,11,12,70,中国,山东,淄博,谨慎，这是个男的！第六道菜美食家~本名张芝橙~那个喜欢鞠婧祎的男生~永远爱糖公主~,911,17万,m,https://m.weibo.cn/u/1559441203?,https://m.weibo.cn/detail/P3iZCud97,
1841306841,,隐于庭的小法师,2024-10-28 18:25:25,和一个今天新认识的毕业院校写的山东大学但实际是中国海洋毕业的朋友聊天……  聊到五院四系。 很显然，随着部分院校的进一步掉队，当一个法学生告诉你他是四系的，那70%的概率是我的校友，30%的概率是珞珈山综合职业技术学院的，人家剩下两系可不在乎啥四系。 ...全文,4,28,83,中国,湖北,宜昌,前法官，现律师，不变的是永远18岁的人设和永远浪在路上的心。搓火球免费，法律咨询不免费。未来的日子，将持续卖萌与吐槽。不信？看我搓个火球砸你…,379,305.6万,m,https://m.weibo.cn/u/1841306841?,https://m.weibo.cn/detail/ODEPQ6iU4,ODEPQ6iU4
3022732373,,徐顺达,2024-09-20 18:33:22,我们都想不通为什么他们寒窗苦读十余年，毕业之后当宿管？ 去年山东大学也出过类似新闻，是一回事麽？  先说说山东大学去年聘用2位名校硕士当公寓的事，被录用的两人，一位是哈尔滨工业大学建筑学硕士，一位是澳大利亚阿德莱德大学葡萄酒商务专业硕士。谁看了都会觉得“大材小用”、“杀鸡焉用牛刀”！ ...全文,17,65,268,中国,天津,天津,中国技术创业协会校企专委负责人,1194,225.2万,m,https://m.weibo.cn/u/3022732373?,https://m.weibo.cn/detail/OxSEcjjLz,OxSEcjjLz
5948790343,,啬挞,2024-11-20 18:49:18,#易烊千玺 喜欢和小猫交朋友的大朋友#  宝宝为什么会有山东大学的月饼 @TFBOYS-易烊千玺 ,7,12,78,中国,广西,柳州,,259,1.1万,f,https://m.weibo.cn/u/5948790343?,https://m.weibo.cn/detail/P1cmDsrUC,P1cmDsrUC
1711530911,OFOrDv8lh,新黄河,2024-11-11 22:33:52,【山东大学发布讣告：#著名经济学家黄少安逝世#，享年62岁】11月11日晚间，山东大学经济研究院发布讣告：  中国共产党党员，我国著名经济学家，山东大学讲席教授、教育部长江学者特聘教授、国家哲学社会科学领军人才黄少安同志，因病医治无效，于2024年11月11日14时32分在济南逝世，享年62岁。 ...全文,71,222,597,中国,山东,济南,济南时报·新黄河客户端官方微博，联系邮箱：565188614@qq.com；联系电话：0531-82061110；商务合作QQ：565188614,2372,1152万,m,https://m.weibo.cn/u/1711530911?,https://m.weibo.cn/detail/OFOrDv8lh,
1347322121,,史凝眸,2024-09-08 16:21:10,只改一个字！！让山东大学上档次 ,28,508,778,中国,福建,三明,做生活的勇者，我们同行！❤️,201,79.1万,m,https://m.weibo.cn/u/1347322121?,https://m.weibo.cn/detail/Ow2EA5h2C,Ow2EA5h2C
